,,,,,,,Na,,Na%,,Na2O,,Na2O%,,Mg,,Mg%,,MgO,,MgO%,,Cl,,K,,K%,,K2O,,K2O%,,Sc,,Ti,,Ti%,,TiO2,,TiO2%,,Mn,,Mn%,,MnO,,MnO%,,Fe,,Fe%,,FeO%,,Fe2O3,,Fe2O3%,,Co,,Zn,,Ga,,Rb,,Sr,,Y,,Zr,,Nb,,Sb,,Cs,,Ba,,La,,Ce,,Nd,,Tb,,Dy,,Sm,,Eu,,Yb,,Lu,,Hf,,Ta,,Pb,,Th,,U,
Nelson,UNV053,Railroad Point,Source Sample,,EDXRF,1,28338.7544369151,,2.83387544369151,,,,3.82,,,,,,,,,,,,,,,,,,,,,,833.164747120681,,0.0833164747120681,,,,0.139,,356.247427330909,,0.0356247427330909,,,,0.046,,11120.7401841067,,1.11207401841067,,,,,,1.59,,,,,,,,145.5,,137.8,,0,,127.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Communication Bruce Kaiser,UNV056,Rock Canyon UT,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,43275,,,,,,,,,,,,,,,,,,394,,,,,,,,8901,,,,,,,,,,,,49,,20,,144,,86,,28,,193,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,
Personal Communication Bruce Kaiser,UNV056,Rock Canyon UT,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,41454,,,,,,,,,,,,,,,,,,382,,,,,,,,8642,,,,,,,,,,,,43,,18,,137,,88,,29,,186,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,
Personal Communication Bruce Kaiser,UNV056,Rock Canyon UT,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,42776,,,,,,,,,,,,,,,,,,427,,,,,,,,9147,,,,,,,,,,,,46,,19,,143,,90,,30,,196,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,
Shackley and Skinner 2015,UNV056,Rock Canyon I,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239,,,,,,,,321,,,,,,,,13320,,,,,,,,,,,,47,,,,154,,96,,18,,185,,13,,,,,,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Communication Bruce Kaiser,UNV057,Rock Canyon UT  2,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,41546,,,,,,,,,,,,,,,,,,538,,,,,,,,11750,,,,,,,,,,,,61,,21,,136,,112,,37,,296,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,
Haarklau et al 2005,UNV058,Shoshone Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107,90,,,,,,,243,27,,,,,,,,,,,,,,,,,,,40,7,,,193,4,74,9,29,3,206,7,26,1,,,,,588,32,,,,,,,,,,,,,,,,,,,,,,,30,4,,,,
Haarklau et al 2005,UNV058,Shoshone Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337,91,,,,,,,306,27,,,,,,,,,,,,,,,,,,,45,7,,,198,4,75,9,28,3,206,7,26,1,,,,,616,32,,,,,,,,,,,,,,,,,,,,,,,23,4,,,,
Haarklau et al 2005,UNV058,Shoshone Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,90,,,,,,,237,27,,,,,,,,,,,,,,,,,,,38,7,,,187,4,76,9,27,3,207,7,28,1,,,,,578,32,,,,,,,,,,,,,,,,,,,,,,,25,4,,,,
Haarklau et al 2005,UNV058,Shoshone Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271,91,,,,,,,265,27,,,,,,,,,,,,,,,,,,,48,7,,,204,4,79,9,25,3,211,7,26,1,,,,,601,32,,,,,,,,,,,,,,,,,,,,,,,29,4,,,,
Haarklau et al 2005,UNV058,Shoshone Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384,91,,,,,,,330,8,,,,,,,,,,,,,,,,,,,47,7,,,215,4,80,9,26,3,222,7,28,1,,,,,616,32,,,,,,,,,,,,,,,,,,,,,,,27,4,,,,
Haarklau et al 2005,UNV058,Shoshone Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209,90,,,,,,,351,27,,,,,,,,,,,,,,,,,,,32,7,,,208,4,81,9,27,3,220,7,30,1,,,,,577,32,,,,,,,,,,,,,,,,,,,,,,,25,4,,,,
Haarklau et al 2005,UNV058,Shoshone Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,91,,,,,,,288,27,,,,,,,,,,,,,,,,,,,32,8,,,217,4,84,9,27,3,223,7,28,1,,,,,604,32,,,,,,,,,,,,,,,,,,,,,,,27,4,,,,
Haarklau et al 2005,UNV058,Shoshone Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,91,,,,,,,284,28,,,,,,,,,,,,,,,,,,,46,7,,,200,4,80,9,28,3,212,7,26,1,,,,,616,32,,,,,,,,,,,,,,,,,,,,,,,30,4,,,,
Haarklau et al 2005,UNV058,Shoshone Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378,91,,,,,,,466,28,,,,,,,,,,,,,,,,,,,39,7,,,216,4,84,9,25,3,220,7,29,1,,,,,625,32,,,,,,,,,,,,,,,,,,,,,,,21,4,,,,
Haarklau et al 2005,UNV058,Shoshone Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136,90,,,,,,,243,27,,,,,,,,,,,,,,,,,,,26,8,,,189,4,74,9,25,3,206,7,22,1,,,,,622,32,,,,,,,,,,,,,,,,,,,,,,,29,4,,,,
Macdonald et al 1992,UNV058,Shoshone Mountain,Source Sample,,AC and INAA,1,29674.0884156179,,2.96740884156179,,,,4,,1085.44845552661,,0.108544845552661,,,,0.18,,0.05,,44246.5370079409,,4.42465370079409,,,,5.33,,,,1318.67801702554,,0.131867801702554,,,,0.22,,309.780371592095,,0.0309780371592095,,,,0.04,,3077.4375352245,,0.30774375352245,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macdonald et al 1992,UNV058,Shoshone Mountain,Source Sample,,AC and INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,29,,,,206,,90,,33,,211,,26,,0.4,,4.6,,651,,61,,99,,35,,,,,,6,,0.53,,,,0.4,,5.7,,2.32,,27,,28.2,,5.8,
Personal Communication Bruce Kaiser,UNV058,Forty Mile Wash NV,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,36295,,,,,,,,,,,,,,,,,,309,,,,,,,,8073,,,,,,,,,,,,35,,18,,175,,65,,24,,202,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,
Personal Communication Bruce Kaiser,UNV058,Forty Mile Wash NV,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,36825,,,,,,,,,,,,,,,,,,266,,,,,,,,8633,,,,,,,,,,,,43,,19,,186,,67,,26,,214,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,
Personal Communication Bruce Kaiser,UNV058,Forty Mile Wash NV,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,40955,,,,,,,,,,,,,,,,,,345,,,,,,,,9307,,,,,,,,,,,,40,,20,,200,,72,,26,,231,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,
Haarklau et al 2005,UNV061,South Kawich Range,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121,90,,,,,,,551,28,,,,,,,,,,,,,,,,,,,126,7,,,182,4,6,9,63,3,699,7,53,1,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,
Haarklau et al 2005,UNV061,South Kawich Range,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,89,,,,,,,543,28,,,,,,,,,,,,,,,,,,,142,7,,,184,4,8,9,64,3,641,7,54,1,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,
Haarklau et al 2005,UNV061,South Kawich Range,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004,90,,,,,,,533,28,,,,,,,,,,,,,,,,,,,118,7,,,178,4,6,9,60,3,635,7,52,1,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,39,4,,,,
Haarklau et al 2005,UNV061,South Kawich Range,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152,90,,,,,,,729,28,,,,,,,,,,,,,,,,,,,136,7,,,179,4,9,9,64,3,649,7,53,1,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,38,4,,,,
Haarklau et al 2005,UNV061,South Kawich Range,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,90,,,,,,,654,28,,,,,,,,,,,,,,,,,,,111,8,,,187,4,11,9,65,3,697,7,53,1,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,38,4,,,,
Haarklau et al 2005,UNV061,South Kawich Range,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017,89,,,,,,,576,28,,,,,,,,,,,,,,,,,,,119,8,,,181,4,9,9,65,3,703,7,56,1,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,31,4,,,,
Haarklau et al 2005,UNV061,South Kawich Range,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,90,,,,,,,477,28,,,,,,,,,,,,,,,,,,,124,7,,,174,4,6,9,61,3,660,7,54,2,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,24,4,,,,
Haarklau et al 2005,UNV061,South Kawich Range,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271,90,,,,,,,643,28,,,,,,,,,,,,,,,,,,,130,7,,,188,4,7,9,61,3,654,7,55,1,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,34,4,,,,
Haarklau et al 2005,UNV061,South Kawich Range,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,90,,,,,,,527,28,,,,,,,,,,,,,,,,,,,141,8,,,183,4,5,9,65,3,702,7,57,2,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,31,4,,,,
Haarklau et al 2005,UNV061,South Kawich Range,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273,90,,,,,,,572,28,,,,,,,,,,,,,,,,,,,140,8,,,193,4,5,9,69,3,788,7,59,2,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,27,4,,,,
Panich et al 2012,UNV061,Lágrimas de Apache,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,,,,,,,,9542,,,,,,,,,,,,,,,,121,,59,,43,,137,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panich et al 2012,UNV061,Lágrimas de Apache,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,,,,,,,9831,,,,,,,,,,,,,,,,116,,56,,42,,130,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haarklau et al 2005,UNV062,South Pahroc,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007,90,,,,,,,498,28,,,,,,,,,,,,,,,,,,,45,7,,,192,4,114,9,27,3,100,7,26,1,,,,,506,32,,,,,,,,,,,,,,,,,,,,,,,30,4,,,,
Haarklau et al 2005,UNV062,South Pahroc,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,89,,,,,,,423,28,,,,,,,,,,,,,,,,,,,35,7,,,195,4,110,9,32,3,100,7,25,1,,,,,491,32,,,,,,,,,,,,,,,,,,,,,,,30,4,,,,
Haarklau et al 2005,UNV062,South Pahroc,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085,90,,,,,,,518,28,,,,,,,,,,,,,,,,,,,28,8,,,180,4,104,9,28,3,93,7,23,1,,,,,476,32,,,,,,,,,,,,,,,,,,,,,,,23,4,,,,
Haarklau et al 2005,UNV062,South Pahroc,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,91,,,,,,,408,28,,,,,,,,,,,,,,,,,,,51,7,,,197,4,114,9,26,3,100,7,23,1,,,,,497,32,,,,,,,,,,,,,,,,,,,,,,,29,4,,,,
Haarklau et al 2005,UNV062,South Pahroc,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,89,,,,,,,554,28,,,,,,,,,,,,,,,,,,,40,7,,,187,4,109,9,28,3,98,7,25,1,,,,,478,32,,,,,,,,,,,,,,,,,,,,,,,30,4,,,,
Haarklau et al 2005,UNV062,South Pahroc,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645,89,,,,,,,469,28,,,,,,,,,,,,,,,,,,,53,7,,,218,4,127,9,33,3,108,7,28,1,,,,,464,322,,,,,,,,,,,,,,,,,,,,,,,39,4,,,,
Haarklau et al 2005,UNV062,South Pahroc,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,89,,,,,,,533,28,,,,,,,,,,,,,,,,,,,33,8,,,186,4,108,9,28,3,100,7,22,1,,,,,515,32,,,,,,,,,,,,,,,,,,,,,,,25,4,,,,
Haarklau et al 2005,UNV062,South Pahroc,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038,90,,,,,,,459,28,,,,,,,,,,,,,,,,,,,41,7,,,182,4,105,9,30,3,98,7,21,1,,,,,484,32,,,,,,,,,,,,,,,,,,,,,,,22,4,,,,
Haarklau et al 2005,UNV062,South Pahroc,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059,90,,,,,,,449,28,,,,,,,,,,,,,,,,,,,44,7,,,183,4,110,9,28,3,95,7,23,1,,,,,484,32,,,,,,,,,,,,,,,,,,,,,,,27,4,,,,
Haarklau et al 2005,UNV062,South Pahroc,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,90,,,,,,,458,28,,,,,,,,,,,,,,,,,,,36,8,,,175,4,102,9,27,3,95,7,23,1,,,,,485,32,,,,,,,,,,,,,,,,,,,,,,,26,4,,,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,4.7,11.4,2.5,140.6,2.1,79.5,6.6,16.6,1.4,88.4,5.9,17.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,2.2,13.4,2.6,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,4.4,15.5,2.4,148.8,2.2,82.4,6.6,16.6,1.5,90,5.9,25.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,2.1,13.1,2.5,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,4.7,11.3,2.5,149.8,2.3,83.6,6.6,18.4,1.5,91.7,6,23.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,2.3,9.6,2.5,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,4.3,17.5,2.2,144.2,2.1,79.9,1.4,19.2,1.4,87.5,5.9,24.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,2,12,2.3,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,4.3,13,2.3,139.2,2.1,80.6,6.6,18.4,1.4,80.9,5.8,25.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,2.1,9.5,2.4,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,4.1,14.3,2,141.2,2.1,81.9,6.5,18.4,1.4,86.7,5.9,20.4,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,1.8,9.3,2.2,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,4,16.7,2,138.6,2,78.2,6.5,16.7,1.4,88.5,5.9,24.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,1.9,12,2.2,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,4,13.5,2,138.4,2,80.4,6.5,16.3,1.3,88,5.9,18.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,1.8,9.1,2.1,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,4.2,17,2.2,142.9,2.2,79.8,6.6,16.5,1.5,88.2,5.9,22.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,1.9,13.4,2.4,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,4.1,16.3,2.2,143.9,2.1,84.1,6.6,18.3,1.4,89.5,5.9,21.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,1.9,8.9,2.2,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,4.1,15.8,2,143,2.1,77.8,6.5,19.3,1.4,87.3,5.9,19.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,2,11.3,2.3,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,4.1,15.9,2.1,138.3,2.1,76.2,6.6,14.9,1.5,84.7,5.9,22.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,2,12.5,2.4,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4.6,21.5,2.5,150.2,2.3,80.4,6.6,15.7,1.6,88.5,6,24.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,2.2,12.2,2.6,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,4.2,13.7,2.1,145.6,2.1,80.5,6.6,18.3,1.4,87.2,5.9,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,1.9,10.2,2.3,,
Moore,UNV063,Sutro Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,4.1,15.2,2.2,141.5,2.1,80.3,6.6,17.6,1.4,88.3,5.9,25.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,1.9,10.2,2.3,,
Personal Communication Bruce Kaiser,UNV063,Surtro Springs NV,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,34161,,,,,,,,,,,,,,,,,,406,,,,,,,,4542,,,,,,,,,,,,36,,18,,132,,71,,16,,73,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
Personal Communication Bruce Kaiser,UNV063,Surtro Springs NV,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,36400,,,,,,,,,,,,,,,,,,417,,,,,,,,4534,,,,,,,,,,,,36,,19,,136,,71,,16,,71,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
Personal Communication Bruce Kaiser,UNV063,Surtro Springs NV,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,30776,,,,,,,,,,,,,,,,,,413,,,,,,,,4209,,,,,,,,,,,,31,,17,,123,,64,,17,,68,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Haarklau et al 2005,UNV064,Tempiute Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,89,,,,,,,457,28,,,,,,,,,,,,,,,,,,,73,7,,,192,4,122,9,32,3,160,7,27,1,,,,,551,32,,,,,,,,,,,,,,,,,,,,,,,24,4,,,,
Haarklau et al 2005,UNV064,Tempiute Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,89,,,,,,,427,28,,,,,,,,,,,,,,,,,,,72,7,,,214,4,129,9,33,3,170,7,30,1,,,,,565,32,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,
Haarklau et al 2005,UNV064,Tempiute Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,89,,,,,,,541,28,,,,,,,,,,,,,,,,,,,63,7,,,202,4,130,9,33,3,162,7,30,1,,,,,583,32,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,
Haarklau et al 2005,UNV064,Tempiute Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,89,,,,,,,475,28,,,,,,,,,,,,,,,,,,,64,7,,,198,4,126,9,34,3,164,7,26,1,,,,,534,32,,,,,,,,,,,,,,,,,,,,,,,27,4,,,,
Haarklau et al 2005,UNV064,Tempiute Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,89,,,,,,,474,28,,,,,,,,,,,,,,,,,,,66,7,,,183,4,117,9,32,3,156,7,25,1,,,,,577,32,,,,,,,,,,,,,,,,,,,,,,,32,4,,,,
Haarklau et al 2005,UNV064,Tempiute Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,90,,,,,,,401,28,,,,,,,,,,,,,,,,,,,75,7,,,205,4,129,9,32,3,162,7,29,1,,,,,583,32,,,,,,,,,,,,,,,,,,,,,,,21,4,,,,
Haarklau et al 2005,UNV064,Tempiute Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173,90,,,,,,,383,28,,,,,,,,,,,,,,,,,,,46,7,,,182,4,110,9,30,3,149,7,27,1,,,,,546,32,,,,,,,,,,,,,,,,,,,,,,,22,4,,,,
Haarklau et al 2005,UNV064,Tempiute Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,90,,,,,,,528,28,,,,,,,,,,,,,,,,,,,70,7,,,202,4,126,9,34,3,163,7,26,1,,,,,565,32,,,,,,,,,,,,,,,,,,,,,,,20,4,,,,
Haarklau et al 2005,UNV064,Tempiute Mountain,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,89,,,,,,,501,28,,,,,,,,,,,,,,,,,,,72,7,,,202,4,124,9,30,3,163,7,30,1,,,,,530,32,,,,,,,,,,,,,,,,,,,,,,,26,4,,,,
Moore,UNV066,Kane Springs,Artifact,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,11.3,18.1,5,205.3,5.8,34.6,3,31.1,2.6,144.2,4.6,26.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moore,UNV066,Kane Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,5.7,24.5,3.3,187.6,2.9,19,6.6,50.3,1.9,187.8,6.2,38.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,2.7,24.3,3.9,,
Moore,UNV066,Kane Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,4.6,15.9,2.3,191,2.3,42,6.5,34.4,1.5,158.5,6,27.4,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2.1,23.9,2.9,,
Moore,UNV066,Kane Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,4,16.7,2,203.8,2.2,36,6.5,38.9,1.4,155.5,5.9,27.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,1.7,30.2,2.8,,
Moore,UNV066,Kane Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,4.2,17.6,2.1,200.2,2.4,35.4,6.5,39.7,1.5,153,6,27.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,1.8,25.8,3,,
Moore,UNV066,Kane Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,5.3,24.4,2.9,198.9,2.9,45.3,6.6,38.6,1.9,169.8,6.1,25.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,2.4,31.8,3.9,,
Moore,UNV066,Kane Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,4.2,24.2,2.1,204.8,2.4,44.2,6.5,38.5,1.5,168,6,23.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,1.8,26.6,2.9,,
Moore,UNV066,Kane Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,4.1,23.9,2.1,225.7,2.4,38.9,6.5,41.5,1.5,126.2,5.9,29.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,2.1,26.7,2.9,,
Moore,UNV066,Kane Springs,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,4.4,17.6,2.4,214.4,2.6,44.6,6.6,38.7,1.6,164.9,6,26.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,28.3,3.2,,
